lang,topic,commits_count,contrib_count,issue_count,stars_count
Python,machine-learning,7,0,0,12
Java,api,170,5,16,35
Python,security,613,6,20,497
C++,security,90,5,1,531
Python,database,14690,42,257,147
Java,api,62,2,4,71
Python,api,33,3,8,458
Python,api,462,8,5,3
Python,api,8,0,1,38
JavaScript,machine-learning,890,2,0,6
Java,android,48,3,0,2
JavaScript,api,58,2,0,12
Python,api,74,0,7,52
Python,machine-learning,37,0,2,92
Python,security,30,0,10,96
Python,machine-learning,129,15,36,1
Java,api,610,7,12,53
JavaScript,api,166,21,14,322
Python,api,174,11,26,97
Java,android,32,2,30,2
Java,security,34,2,4,4
Java,android,154,3,19,354
C++,api,41,4,1,104
Java,android,155,26,3,710
JavaScript,android,20,0,0,10
JavaScript,database,94,7,10,57
Python,android,62,3,4,779
JavaScript,api,673,10,7,380
Python,database,63,0,0,1
Java,android,418,15,5,1
C++,machine-learning,692,92,130,23
Python,machine-learning,38,0,4,384
Python,machine-learning,350,4,30,1
Python,machine-learning,6,0,0,79
C++,api,705,19,36,141
JavaScript,api,8,0,0,0
Java,api,16,0,5,1
Python,machine-learning,413,3,12,723
Java,android,228,22,82,10
Python,machine-learning,579,57,152,1
JavaScript,database,34,2,3,283
Python,api,240,11,42,264
C++,database,24,2,0,3
JavaScript,database,709,119,14,27
JavaScript,api,435,4,19,6
Python,machine-learning,20,0,1,55
Java,android,21,5,4,1
JavaScript,api,710,58,15,1
Python,api,41,0,0,0
JavaScript,api,24,2,0,106
JavaScript,api,907,6,11,239
JavaScript,api,867,26,1,200
JavaScript,api,50,0,0,20
Java,android,894,2,1,1
Python,machine-learning,59,7,20,858
Python,database,156,4,42,2
Java,api,595,0,3,562
Java,api,474,28,40,3
JavaScript,api,481,12,0,375
Python,machine-learning,334,5,35,1
Python,api,114,14,15,242
Python,database,2,0,0,2
JavaScript,android,17636,157,276,603
Python,api,195,3,8,526
C++,security,31,3,44,18
Python,api,10153,257,265,5
Python,api,17,2,0,64
Python,api,178,2,0,120
Java,android,80,16,148,4
Python,machine-learning,8,0,1,64
JavaScript,database,69,0,0,30
Python,machine-learning,113,7,26,273
Java,database,77,3,0,124
JavaScript,api,149,3,43,143
Python,security,5916,313,40,7
JavaScript,api,33,3,0,26
JavaScript,database,4,0,1,1
Python,api,607,13,21,351
Python,database,2085,88,79,1
JavaScript,api,141,2,5,36
Python,machine-learning,194,0,0,5
JavaScript,api,1164,50,18,3
Java,database,46,0,0,17
JavaScript,android,254,4,7,29
JavaScript,api,59,4,5,139
Java,android,5,0,0,1
Java,database,2203,90,108,7
Python,api,656,12,18,401
Python,api,7,0,0,1
Java,android,494,4,31,3
Java,api,23,0,3,55
C++,machine-learning,16116,201,753,17
JavaScript,database,661,4,0,148
JavaScript,api,3,0,1,280
Python,machine-learning,4511,18,92,1
Java,android,12926,421,0,14
Java,android,234,10,26,192
Python,api,23,3,2,1
Java,database,42,0,0,8
JavaScript,database,333,5,12,253
Python,security,4693,65,75,2
JavaScript,android,38,0,0,16
C++,machine-learning,18,2,9,262
Python,machine-learning,315,11,28,34
C++,android,215,0,0,40
Python,security,29,3,0,358
C++,security,763,71,173,1
Java,database,1557,5,140,4
Java,security,56,2,0,48
JavaScript,security,240,30,4,7
JavaScript,api,78,2,0,1
Python,security,4,2,1,15
JavaScript,android,105,2,0,35
Java,api,18,0,1,0
Java,android,44,0,0,65
Python,machine-learning,14,0,0,184
Python,api,44,0,5,5
